time;Load_load2_running;Load_load2_terminal_V_re;Load_load2_terminal_V_im;Load_load2_PPu;Load_load1_PPu;MS1_gover_PmPu;MS1_gover_omegaPu;MS1_gen_cePu;MS1_gen_PePu;MS1_gen_cmPu;MS1_gen_PmPu;MS1_gen_ufPu;MS1_gen_efdPu;MS1_gen_omegaPu;MS1_gen_theta;MS1_gen_PGenPu;MS1_gen_QGenPu;MS1_gen_PGen;MS1_gen_QGen;MS1_gen_UPu;MS1_gen_IStatorPu;MS1_gen_IRotorPu;MS1_gen_UStatorPu;MS1_gen_QStatorPu;MS1_gen_thetaInternal;MS2_gen_cePu;MS2_gen_PePu;MS2_gen_cmPu;MS2_gen_PmPu;MS2_gen_ufPu;MS2_gen_efdPu;MS2_gen_omegaPu;MS2_gen_theta;MS2_gen_PGenPu;MS2_gen_QGenPu;MS2_gen_PGen;MS2_gen_QGen;MS2_gen_UPu;MS2_gen_IStatorPu;MS2_gen_IRotorPu;MS2_gen_UStatorPu;MS2_gen_QStatorPu;MS2_gen_thetaInternal;
30.032;-1;1.00228;0.102143;0;1.92851;0.754883;1.00102;0.509223;0.509744;0.754111;0.754883;0.00131627;1.81724;1.00102;0.956781;2.54872;0.0600026;254.872;6.00026;1.00748;2.53051;1.5452;1.00748;0.0600026;0.855221;-0.123677;-0.123735;-1.99906e-05;-2e-05;0.000798663;1.10263;1.00047;0.0142875;-0.618673;-0.0291644;-61.8673;-2.91644;1.10422;0.560901;1.10169;1.10422;-0.0291644;-0.037932;
30.048;-1;1.00204;0.1125;0;1.93179;0.752479;1.0015;0.515847;0.516623;0.751349;0.752479;0.00131627;1.81724;1.0015;0.963114;2.58312;0.0657847;258.312;6.57847;1.00833;2.56261;1.5231;1.00833;0.0657847;0.85131;-0.129833;-0.129927;-1.99856e-05;-2e-05;0.000798663;1.10263;1.00072;0.017299;-0.649633;-0.0318116;-64.9633;-3.18116;1.10466;0.588786;1.10179;1.10466;-0.0318116;-0.0427627;
30.064;-1;1.00123;0.123916;0;1.93384;0.750167;1.00197;0.522174;0.523201;0.748695;0.750167;0.00131627;1.81724;1.00197;0.971815;2.616;0.0689933;261.6;6.89933;1.00886;2.59392;1.51069;1.00886;0.0689933;0.848674;-0.135928;-0.136062;-1.99802e-05;-2e-05;0.000798663;1.10263;1.00099;0.0216154;-0.680312;-0.0317708;-68.0312;-3.17708;1.10498;0.616352;1.10246;1.10498;-0.0317708;-0.0473752;
30.08;-1;0.999921;0.136598;0;1.93513;0.747946;1.00241;0.528467;0.52974;0.746147;0.747946;0.00131627;1.81724;1.00241;0.982795;2.6487;0.0707867;264.87;7.07867;1.0092;2.62549;1.5051;1.0092;0.0707867;0.847021;-0.14213;-0.14231;-1.99747e-05;-2e-05;0.000798663;1.10263;1.00127;0.0272984;-0.711547;-0.0300966;-71.1547;-3.00966;1.10521;0.644392;1.10361;1.10521;-0.0300966;-0.0518532;
30.096;-1;0.99812;0.150679;0;1.93598;0.745813;1.00284;0.534853;0.53637;0.743703;0.745813;0.00131627;1.81724;1.00284;0.995963;2.68185;0.0718874;268.185;7.18874;1.00942;2.65777;1.50428;1.00942;0.0718874;0.846126;-0.148501;-0.148732;-1.99689e-05;-2e-05;0.000798663;1.10263;1.00156;0.0344109;-0.743659;-0.0274666;-74.3659;-2.74666;1.10538;0.673225;1.10516;1.10538;-0.0274666;-0.0562517;
30.112;-1;0.995807;0.166238;0;1.93659;0.743769;1.00325;0.541362;0.54312;0.741362;0.743769;0.00131627;1.81724;1.00325;1.01123;2.7156;0.0727233;271.56;7.27233;1.00958;2.69078;1.50678;1.00958;0.0727233;0.845814;-0.155031;-0.155319;-1.99629e-05;-2e-05;0.000798663;1.10263;1.00186;0.0430171;-0.776598;-0.0243024;-77.6598;-2.43024;1.10551;0.702819;1.10703;1.10551;-0.0243024;-0.0606018;
30.128;-1;0.992935;0.183314;0;1.93708;0.741813;1.00364;0.547962;0.549955;0.739124;0.741813;0.00131627;1.81724;1.00364;1.02851;2.74978;0.0735302;274.978;7.35302;1.00971;2.72429;1.51159;1.00971;0.0735302;0.845943;-0.161662;-0.162014;-1.99565e-05;-2e-05;0.000798663;1.10263;1.00218;0.0531826;-0.81007;-0.020865;-81.007;-2.0865;1.10563;0.732917;1.10915;1.10563;-0.020865;-0.0649159;
30.16;-1;0.985256;0.222045;0;1.93807;0.73816;1.00437;0.560989;0.563439;0.73495;0.73816;0.00131627;1.81724;1.00437;1.06863;2.8172;0.07545;281.72;7.545;1.00997;2.79039;1.5247;1.00997;0.07545;0.846968;-0.174715;-0.175213;-1.99432e-05;-2e-05;0.000798663;1.10263;1.00285;0.0785413;-0.876067;-0.0139159;-87.6067;-1.39159;1.10584;0.792318;1.11384;1.10584;-0.0139159;-0.073393;
30.192;-1;0.974414;0.266684;0;1.93916;0.734837;1.00503;0.573231;0.576116;0.731157;0.734837;0.00131627;1.81724;1.00503;1.11574;2.88057;0.0777487;288.057;7.77487;1.01025;2.85234;1.54043;1.01025;0.0777487;0.848591;-0.186914;-0.187582;-1.99288e-05;-2e-05;0.000798663;1.10263;1.00357;0.110938;-0.937903;-0.00723465;-93.7903;-0.723465;1.10608;0.847947;1.11885;1.10608;-0.00723465;-0.0815525;
30.224;-1;0.959636;0.31689;0;1.94056;0.731812;1.00564;0.583939;0.587232;0.727709;0.731812;0.00131627;1.81724;1.00564;1.16922;2.93628;0.0802708;293.628;8.02708;1.01062;2.90642;1.55626;1.01062;0.0802708;0.850272;-0.197491;-0.198349;-1.99136e-05;-2e-05;0.000798663;1.10263;1.00434;0.150825;-0.991795;-0.00142514;-99.1795;-0.142514;1.10639;0.896345;1.1238;1.10639;-0.00142514;-0.0892036;
30.256;-1;0.940082;0.372174;0;1.94245;0.729042;1.00619;0.592453;0.596122;0.724556;0.729042;0.00131627;1.81724;1.00619;1.22855;2.98106;0.0827465;298.106;8.27465;1.01111;2.94929;1.57035;1.01111;0.0827465;0.851578;-0.205762;-0.206822;-1.98976e-05;-2e-05;0.000798663;1.10263;1.00514;0.1986;-1.03434;0.00295149;-103.434;0.295149;1.10683;0.934393;1.12828;1.10683;0.00295149;-0.0961278;
30.288;-1;0.914864;0.431908;0;1.94496;0.726474;1.00671;0.59827;0.602283;0.721635;0.726474;0.00131627;1.81724;1.00671;1.29326;3.0123;0.0849203;301.23;8.49203;1.01176;2.97827;1.58141;1.01176;0.0849203;0.852175;-0.211198;-0.212462;-1.98812e-05;-2e-05;0.000798663;1.10263;1.00598;0.254576;-1.06285;0.00544981;-106.285;0.544981;1.10744;0.959591;1.1319;1.10744;0.00544981;-0.102113;
